ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,Index_category,language
part4_p103_a4,Vol.3,Part IV,p103,1811.,1811,high,"Dibdin, Thomas Frognall.",high,Thomas Frognall Dibdin,male,71478954,"Bibliomania,","Motto to pt. 1, pp. 153 n., 157 n., 244 n., 256 n., 319, 507 n., 515 n., 569 n., 594 n.","[The note on p. 515 is the only allusion in the small first
edn. of 1809 (q.v. above, App. A.); the other allusions
appear here for the first time and are reprinted in the 3rd
edn. of 1842, with the addition of two in the account of
Baron Bolland’s books in the First Supplement. Most are
unimportant; that on p. 319 is a laudation of William
Thynne for his love for and work on Chaucer.]",,"bibliography,,",en
part4_p103_a5,Vol.3,Part IV,p103-104,[1811.],[1811],medium,"Landor, Walter Savage.",high,Walter Savage Landor,male,46796707,"Commentary on Memoirs of Mr. Fox,","lately written [by J. B. Trotter], 1812 [actually in 1811], ed. S. Wheeler, 1907, pp. 211-12, 215.","[p.211] ""He entertained a sincere veneration for Chaucer."" He
entertained a sincere veneration for so many, that we have
reason to suppose he had little discrimination.  ... Chaucer
[p. 212] is indeed an admirable poet; until the time of Shakespeare
none equalled him; and perhaps none after, till ours. The
truth of his delineations, his humour, his simplicity, his
tenderness, how different from the distorted images and
gorgeous languor of Spenser! The language, too, of Chaucer
was the language of his day, the language of those English¬
men who conquered France; that of Spenser is a strange
uncouth compound of words.  ...
[p. 215] In Chaucer ... we recognize the strong homely strokes,
the broad and negligent facility, of a great master. Within
his time and Shakespeare’s, there was nothing comparable,
nor, I think, between Shakespeare and Burns, a poet who
much resembles him in a knowledge of nature and manners.","[The unique copy of the original edn. of 1812 belongs to Lord Crowe. See above, pt. ii, sect. i, p. 56, 1811, Trotter; also above, App. A., 1800, Fox.]","criticism,qualities,facility/criticism,comparisons,spenser",en
part4_p104_a1,Vol.3,Part IV,p104,1812.,1812,high,P.,low,Unknown,,,"Tabard Inn,","[with plate, in] The Gentleman's Magazine, Sept. 1812, vol. lxxxii, p. 217.","[The inn, the inscription over the gateway, etc.] Till lately
there was some ancient tapestry in the house representing a
procession to Canterbury. A well-painted sign by Mr. Blake
[? a copy of the Canterbury Pilgrims] represents Chaucer
and his merry company setting out...",,"illustrations,blake,",en
part4_p104_a2,Vol.3,Part IV,p104,1813.,1813,high,"Scott, Sir Walter.",high,Walter Scott,male,95207079,The Bridal of Triermain.,,"Motto on title page.
An elf-quene wol I love I wis
[and five following lines.]
Rime of Sir Thopas.",,,en
part4_p104_a3,Vol.3,Part IV,p104,1815.,1815,high,"Scott, Sir Walter.",high,Walter Scott,male,95207079,"The Antiquary,",chap. xvi.,"Ah! you have looked on the face of the grisly god of
arms, then?–you are acquainted with the frowns of Mars
armipotent?",,,en
part4_p104_a4,Vol.3,Part IV,p104,1819.,1819,high,"Keats, John.",high,John Keats,male,66508882,The Eve of Saint Mark.,"[Composed early in 1819, and published posthumously.] (Works, ed. E. de Sélincourt, 2nd ed., 1907, pp. 243.)","[The following lines, supposed to introduce the mediæval
legend of St. Mark, are clearly imitated from Chaucer:]
—Als writith he of swevenis
Men han beforne they wake in bliss...
And how a litling child mote be
A saint er its nativitie...
He writith; and thinges many mo
Of swiche thinges I may not show
Bot I must tellen veritie
Somdel of Sainte Cicilie,
And chieflie what he auctorethe
Of Sainte Markis life and dethe...",,"imitations,particularImitators,keats",en
part4_p105_a1,Vol.3,Part IV,p105,1821.,1821,high,"Southey, Robert.",high,Robert Southey,male,61576896,"The Vision of Judgment,",p. 33.,"Thee too, Father Chaucer! I saw, and delighted to see thee,
At whose well undefiled I drank in my youth and was
With whose mind immortal so oft I have communed, par¬
strengthen’d;
All its manifold moods, and willingly moved at its pleasure.
taking",,,en
part4_p105_a2,Vol.3,Part IV,p105,1823.,1823,high,"Hunt, James Henry Leigh.",high,Leigh Hunt,male,54166412,The First Canto of the Squire’s Tale.,,"[This is stated above (pt. ii, sect. i, p. 144) to have been
reprinted in 1855. But that reprint is of Hunt’s second
version, first published in Chaucer Modernised, 1841.]",,"modernizations,particular,hunt",en
part4_p105_a3,Vol.3,Part IV,p105,1823.,1823,high,"Markham, Mrs. [ps., i. e. Elizabeth Penrose.]",medium,Elizabeth Penrose,female,43295800,"A History of England, for the Use of Young Persons,","conversation on chap. xix, pp. 174-5 (edn. 1853).","[Chaucer the father of English poetry; this is enlarged
upon, and a few lines (""the busy lark, the messenger of
day,” etc.) quoted and obsolete words explained.]","[Professor Skeat (A Student's Pastime, 1896, pp. xiii-xiv) stated that Mrs. Mark ham's History of England was one of his lesson-books as a child [c. 1845], and that this passage first turned his attention to old English.]",,en
part4_p105_a4,Vol.3,Part IV,p105,[1825.],[1825],medium,"[Keble, John.]",medium,John Keble,male,64093032,"Review [of] The Star in the East,","by Josiah Conder, 1824, [in] The Quarterly Review, June 1825, vol. xxxii, pp. 224-5. [Reprinted, as Sacred Poetry, in Occasional Papers and Reviews by John Keble, 1877, pp. 97-8.]","[p.97] In all ages of our literary history it seems to have been
considered almost as an essential part of a poet's duty to
give up some pages to Scriptural story, or to the praise of
his Maker, how remote soever from anything like religion
the general strain of his writings might be. Witness the
"" Lamentation of Mary Magdalene"" in the works of Chaucer,
[p. 98] and the beautiful legend of “Hew of Lincoln,"" which he has
inserted in the “Canterbury Tales""...",,,en
